arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1009,4058701728,942080,293,0.9453924914675768,154.18430034129693,7088,7088,192.29657697677612
N,1009,4058701728,983040,293,0.9146757679180887,157.4470989761092,7088,7088,192.29657697677612
N,1009,4058701728,1024000,293,0.9522184300341296,149.1023890784983,7088,7088,192.29657697677612
N,1009,4058701728,1064960,293,0.9453924914675768,148.54266211604096,7088,7088,192.29657697677612
N,1009,4058701728,1105920,293,0.9556313993174061,144.29692832764505,7088,7088,192.29657697677612
N,1009,4058701728,1146880,293,0.9556313993174061,147.08532423208192,7088,7088,192.29657697677612
N,1009,4058701728,1187840,293,0.9556313993174061,142.36518771331058,7088,7088,192.29657697677612
N,1009,4058701728,1228800,293,0.863481228668942,173.77133105802048,7088,7088,192.29657697677612
N,1010,915982904,0,293,0.0,500.0,6886,6886,190.09037113189697
N,1010,915982904,40960,293,0.9488054607508533,152.28327645051195,6886,6886,190.09037113189697
N,1010,915982904,81920,293,0.9180887372013652,158.1023890784983,6886,6886,190.09037113189697
N,1010,915982904,122880,293,0.9556313993174061,151.53242320819112,6886,6886,190.09037113189697
N,1010,915982904,163840,293,0.5494880546075085,303.6006825938567,6886,6886,190.09037113189697
N,1010,915982904,204800,293,0.7679180887372014,220.36177474402731,6886,6886,190.09037113189697
N,1010,915982904,245760,293,0.9010238907849829,169.66211604095562,6886,6886,190.09037113189697
N,1010,915982904,286720,293,0.8805460750853242,171.21843003412968,6886,6886,190.09037113189697
N,1010,915982904,327680,293,0.9522184300341296,151.24914675767917,6886,6886,190.09037113189697
N,1010,915982904,368640,293,0.9419795221843004,152.32423208191128,6886,6886,190.09037113189697
N,1010,915982904,409600,293,0.9488054607508533,149.61433447098977,6886,6886,190.09037113189697
N,1010,915982904,450560,293,0.89419795221843,167.3924914675768,6886,6886,190.09037113189697
N,1010,915982904,491520,293,0.962457337883959,148.20477815699658,6886,6886,190.09037113189697
N,1010,915982904,532480,293,0.9453924914675768,149.1160409556314,6886,6886,190.09037113189697
N,1010,915982904,573440,293,0.9453924914675768,150.0273037542662,6886,6886,190.09037113189697
N,1010,915982904,614400,293,0.9351535836177475,153.3924914675768,6886,6886,190.09037113189697
N,1010,915982904,655360,293,0.8737201365187713,170.73378839590444,6886,6886,190.09037113189697
N,1010,915982904,696320,293,0.9692832764505119,148.7133105802048,6886,6886,190.09037113189697
N,1010,915982904,737280,293,0.931740614334471,167.259385665529,6886,6886,190.09037113189697
N,1010,915982904,778240,293,0.9453924914675768,152.89419795221843,6886,6886,190.09037113189697
N,1010,915982904,819200,293,0.962457337883959,147.20819112627987,6886,6886,190.09037113189697
N,1010,915982904,860160,293,0.9522184300341296,147.1433447098976,6886,6886,190.09037113189697
N,1010,915982904,901120,293,0.962457337883959,150.4778156996587,6886,6886,190.09037113189697
