arm,seed,step,E0/n,E0/success,E0/mean_steps,E1v/n,E1v/success,E1v/mean_steps,E2v/n,E2v/success,E2v/mean_steps,E3v/n,E3v/success,E3v/mean_steps,E4v/n,E4v/success,E4v/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps
A,20,552960,282,0.024822695035460994,289.42198581560285,100,0.02,263.24,100,0.0,284.14,100,0.03,262.13,50,0.06,234.58,250,0.004,260.756,100,0.02,294.37
A,20,614400,282,0.9822695035460993,496.2588652482269,100,0.47,272.03,100,0.44,259.68,100,0.46,267.52,50,0.3,200.48,250,0.492,282.064,100,0.98,494.89
A,17,61440,282,0.10283687943262411,214.95390070921985,100,0.0,97.58,100,0.0,94.95,100,0.0,90.38,50,0.0,82.5,250,0.0,94.424,100,0.08,202.24
A,17,122880,282,0.450354609929078,416.48936170212767,100,0.0,170.64,100,0.0,175.39,100,0.0,163.11,50,0.0,148.72,250,0.0,169.736,100,0.4,417.26
A,17,184320,282,0.0851063829787234,265.1276595744681,100,0.03,160.36,100,0.0,150.59,100,0.0,152.41,50,0.0,130.94,250,0.008,158.036,100,0.1,256.79
A,17,245760,282,0.031914893617021274,209.54255319148936,100,0.0,89.12,100,0.0,111.99,100,0.0,84.68,50,0.0,82.22,250,0.0,94.728,100,0.02,201.07
A,17,307200,282,0.0673758865248227,249.43617021276594,100,0.0,116.24,100,0.0,128.19,100,0.0,116.4,50,0.0,102.54,250,0.0,122.716,100,0.05,236.64
A,17,368640,282,0.7907801418439716,475.4148936170213,100,0.16,161.49,100,0.09,180.41,100,0.09,135.76,50,0.06,134.18,250,0.092,149.008,100,0.84,484.2
A,17,430080,282,0.9787234042553191,494.38652482269504,100,0.51,288.99,100,0.58,322.59,100,0.58,317.6,50,0.62,337.6,250,0.572,315.908,100,1.0,500.0
A,17,491520,282,0.9893617021276596,497.90425531914894,100,0.77,402.96,100,0.78,409.46,100,0.77,401.8,50,0.74,391.02,250,0.756,399.12,100,1.0,500.0
A,17,552960,282,0.9184397163120568,481.74468085106383,100,0.34,291.18,100,0.27,276.12,100,0.15,207.75,50,0.08,148.9,250,0.248,258.192,100,0.94,490.55
A,17,614400,282,0.9893617021276596,495.2730496453901,100,0.0,56.93,100,0.0,57.98,100,0.0,54.79,50,0.0,50.84,250,0.0,57.26,100,1.0,500.0
A,18,61440,282,0.024822695035460994,205.3581560283688,100,0.0,108.99,100,0.0,106.25,100,0.0,100.73,50,0.0,91.92,250,0.0,105.184,100,0.05,215.79
A,18,122880,282,0.08865248226950355,270.5496453900709,100,0.0,139.32,100,0.0,133.25,100,0.0,126.32,50,0.0,109.42,250,0.0,133.076,100,0.06,263.37
A,18,184320,282,0.08156028368794327,257.8085106382979,100,0.01,143.35,100,0.0,132.42,100,0.0,126.01,50,0.0,111.7,250,0.0,132.972,100,0.06,245.61
A,18,245760,282,0.9148936170212766,492.322695035461,100,0.06,177.29,100,0.22,267.39,100,0.2,228.76,50,0.3,279.08,250,0.156,213.632,100,0.91,489.53
A,18,307200,282,0.9680851063829787,495.1063829787234,100,0.0,64.26,100,0.06,105.64,100,0.01,75.15,50,0.04,123.74,250,0.024,85.792,100,1.0,500.0
A,18,368640,282,0.9858156028368794,497.7730496453901,100,0.69,371.94,100,0.79,413.83,100,0.85,437.61,50,0.86,440.94,250,0.768,402.568,100,0.99,498.11
A,18,430080,282,0.9858156028368794,494.2517730496454,100,0.08,99.62,100,0.08,104.42,100,0.05,83.55,50,0.06,86.28,250,0.08,99.36,100,1.0,500.0
A,18,491520,282,0.8829787234042553,477.0921985815603,100,0.55,321.38,100,0.51,305.52,100,0.31,222.9,50,0.2,168.64,250,0.424,272.1,100,0.89,480.77
A,18,552960,282,0.7872340425531915,458.5531914893617,100,0.03,190.34,100,0.0,185.82,100,0.01,134.5,50,0.0,104.94,250,0.02,158.1,100,0.81,462.38
A,18,614400,282,0.9858156028368794,493.6595744680851,100,0.0,56.37,100,0.0,56.61,100,0.0,54.6,50,0.0,50.8,250,0.0,56.884,100,1.0,500.0
A,2,61440,282,0.08865248226950355,269.9751773049645,100,0.0,135.44,100,0.0,130.76,100,0.0,124.18,50,0.0,110.0,250,0.0,130.432,100,0.06,257.23
