arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0.0003,839680,282,0.9893617021276596,496.3333333333333,138,0.9927536231884058,497.42028985507244,93,0.967741935483871,485.9139784946237,95,0.9894736842105263,495.4842105263158,96,0.9895833333333334,495.7291666666667,92,0.9891304347826086,495.64130434782606,99,1.0,500.0,272,0.9742647058823529,490.94117647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,860160,282,0.9787234042553191,496.0496453900709,138,0.9855072463768116,497.8695652173913,93,0.978494623655914,496.6559139784946,95,0.9894736842105263,499.4,96,0.9895833333333334,499.28125,92,0.9782608695652174,495.30434782608694,99,0.9696969696969697,495.8989898989899,272,0.9669117647058824,494.0514705882353,4207,4207,276.60360503196716
N,2,359346417,0.0003,880640,282,0.9822695035460993,495.9326241134752,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.5108695652174,99,0.98989898989899,497.54545454545456,272,0.9816176470588235,496.125,4207,4207,276.60360503196716
N,2,359346417,0.0003,901120,282,0.9113475177304965,482.52127659574467,138,0.9565217391304348,491.7536231884058,93,0.946236559139785,483.9247311827957,95,0.9473684210526315,490.8,96,0.9791666666666666,492.96875,92,0.9239130434782609,484.19565217391306,99,0.7777777777777778,450.1313131313131,272,0.8235294117647058,472.3345588235294,4207,4207,276.60360503196716
N,2,359346417,0.0003,921600,282,0.6453900709219859,423.6737588652482,138,0.7463768115942029,445.0,93,0.7634408602150538,441.247311827957,95,0.7052631578947368,437.94736842105266,96,0.75,437.84375,92,0.6304347826086957,426.7608695652174,99,0.41414141414141414,361.72727272727275,272,0.6433823529411765,427.72058823529414,4207,4207,276.60360503196716
N,2,359346417,0.0003,942080,282,0.9468085106382979,490.3085106382979,138,0.9782608695652174,498.1666666666667,93,0.978494623655914,492.68817204301075,95,0.9368421052631579,491.09473684210525,96,0.9895833333333334,496.53125,92,0.9239130434782609,485.9673913043478,99,0.898989898989899,477.969696969697,272,0.8455882352941176,477.7904411764706,4207,4207,276.60360503196716
N,2,359346417,0.0003,962560,282,0.9787234042553191,493.49645390070924,138,1.0,500.0,93,0.978494623655914,492.0967741935484,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.5869565217391,99,0.98989898989899,498.83838383838383,272,0.9779411764705882,493.1617647058824,4207,4207,276.60360503196716
N,2,359346417,0.0003,983040,282,0.9929078014184397,497.0248226950355,138,1.0,500.0,93,0.978494623655914,492.16129032258067,95,1.0,500.0,96,1.0,500.0,92,1.0,500.0,99,1.0,500.0,272,0.9816176470588235,493.6360294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,1003520,282,0.9822695035460993,496.52836879432624,138,1.0,500.0,93,0.989247311827957,497.3333333333333,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,493.2608695652174,99,0.9797979797979798,496.030303030303,272,0.9632352941176471,492.9522058823529,4207,4207,276.60360503196716
N,2,359346417,0.0003,1024000,282,0.975177304964539,496.00354609929076,138,0.9855072463768116,498.5144927536232,93,0.967741935483871,493.89247311827955,95,0.9894736842105263,498.7684210526316,96,0.9791666666666666,497.7916666666667,92,0.9782608695652174,494.9782608695652,99,0.9494949494949495,491.2828282828283,272,0.9448529411764706,491.56617647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,1044480,282,0.9964539007092199,498.5177304964539,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.6195652173913,99,1.0,500.0,272,0.9779411764705882,494.7352941176471,4207,4207,276.60360503196716
N,2,359346417,0.0003,1064960,282,0.9893617021276596,495.3049645390071,138,0.9927536231884058,497.3695652173913,93,0.956989247311828,481.39784946236557,95,0.9894736842105263,495.4842105263158,96,0.9895833333333334,496.0833333333333,92,1.0,500.0,99,1.0,500.0,272,0.9742647058823529,491.62132352941177,4207,4207,276.60360503196716
N,2,359346417,0.0003,1085440,282,0.9929078014184397,496.8758865248227,138,0.9855072463768116,493.6014492753623,93,0.9354838709677419,473.16129032258067,95,0.9894736842105263,495.34736842105264,96,0.9895833333333334,495.4166666666667,92,1.0,500.0,99,1.0,500.0,272,0.9669117647058824,487.93382352941177,4207,4207,276.60360503196716
N,2,359346417,0.0003,1105920,282,0.9822695035460993,495.04609929078015,138,0.9855072463768116,495.6666666666667,93,0.967741935483871,490.505376344086,95,0.9894736842105263,496.06315789473683,96,0.96875,491.4583333333333,92,0.9782608695652174,492.1847826086956,99,0.9292929292929293,481.7171717171717,272,0.9595588235294118,489.56617647058823,4207,4207,276.60360503196716
N,2,359346417,0.0003,1126400,282,0.9858156028368794,495.90070921985813,138,0.9927536231884058,497.9492753623188,93,0.978494623655914,493.97849462365593,95,1.0,500.0,96,0.9895833333333334,497.125,92,0.9782608695652174,495.14130434782606,99,0.9696969696969697,491.4040404040404,272,0.9522058823529411,487.93382352941177,4207,4207,276.60360503196716
N,2,359346417,0.0003,1146880,282,0.9893617021276596,496.9432624113475,138,1.0,500.0,93,0.989247311827957,497.1505376344086,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,498.7826086956522,99,0.98989898989899,497.1111111111111,272,0.9595588235294118,492.6654411764706,4207,4207,276.60360503196716
N,2,359346417,0.0003,1167360,282,0.975177304964539,489.0496453900709,138,0.9347826086956522,470.94202898550725,93,0.8387096774193549,430.5376344086022,95,0.9578947368421052,481.5578947368421,96,0.9166666666666666,462.7395833333333,92,0.9782608695652174,490.19565217391306,99,0.9393939393939394,472.1212121212121,272,0.9080882352941176,461.18014705882354,4207,4207,276.60360503196716
N,2,359346417,0.0003,1187840,282,0.9858156028368794,493.66312056737587,138,0.9637681159420289,483.7463768115942,93,0.9139784946236559,461.39784946236557,95,0.968421052631579,486.09473684210525,96,0.96875,485.8229166666667,92,0.9782608695652174,490.3478260869565,99,0.9595959595959596,481.7070707070707,272,0.9375,477.1875,4207,4207,276.60360503196716
N,2,359346417,0.0003,1208320,282,0.9858156028368794,493.63120567375887,138,0.9492753623188406,477.4130434782609,93,0.8924731182795699,451.9032258064516,95,0.9578947368421052,481.62105263157895,96,0.9270833333333334,467.71875,92,0.9782608695652174,490.2391304347826,99,0.9494949494949495,477.04040404040404,272,0.9191176470588235,465.55514705882354,4207,4207,276.60360503196716
N,2,359346417,0.0003,1228800,282,0.950354609929078,477.57801418439715,138,0.8840579710144928,449.2826086956522,93,0.7849462365591398,408.2903225806452,95,0.9368421052631579,470.9684210526316,96,0.8645833333333334,437.0,92,0.9782608695652174,490.14130434782606,99,0.9393939393939394,472.04040404040404,272,0.8529411764705882,437.2022058823529,4207,4207,276.60360503196716
N,3,1947088435,0.0003,0,282,0.0,16.588652482269502,138,0.0,16.57246376811594,93,0.0,17.72043010752688,95,0.0,16.50526315789474,96,0.0,27.375,92,0.0,18.097826086956523,99,0.0,13.808080808080808,272,0.0,21.628676470588236,4080,4080,278.1307771205902
N,3,1947088435,0.0003,20480,282,0.0,143.9468085106383,138,0.0,142.85507246376812,93,0.0,141.66666666666666,95,0.0,148.06315789473683,96,0.010416666666666666,155.48958333333334,92,0.010869565217391304,149.55434782608697,99,0.020202020202020204,141.15151515151516,272,0.003676470588235294,130.17279411764707,4080,4080,278.1307771205902
N,3,1947088435,0.0003,40960,282,0.07446808510638298,246.14893617021278,138,0.028985507246376812,235.6014492753623,93,0.053763440860215055,240.11827956989248,95,0.06315789473684211,233.07368421052632,96,0.0625,246.42708333333334,92,0.08695652173913043,250.32608695652175,99,0.08080808080808081,212.26262626262627,272,0.051470588235294115,271.8125,4080,4080,278.1307771205902
N,3,1947088435,0.0003,61440,282,0.11347517730496454,256.15248226950354,138,0.07246376811594203,240.55072463768116,93,0.043010752688172046,229.19354838709677,95,0.05263157894736842,227.82105263157894,96,0.08333333333333333,252.42708333333334,92,0.11956521739130435,253.27173913043478,99,0.050505050505050504,210.0909090909091,272,0.058823529411764705,243.29779411764707,4080,4080,278.1307771205902
N,3,1947088435,0.0003,81920,282,0.9432624113475178,493.822695035461,138,0.9855072463768116,498.7173913043478,93,0.978494623655914,498.752688172043,95,0.9789473684210527,497.7684210526316,96,0.9791666666666666,499.1458333333333,92,0.9565217391304348,490.5326086956522,99,0.8686868686868687,486.2121212121212,272,0.875,480.46691176470586,4080,4080,278.1307771205902
N,3,1947088435,0.0003,102400,282,0.6205673758865248,440.84397163120565,138,0.6159420289855072,452.4347826086956,93,0.6236559139784946,447.23655913978496,95,0.6210526315789474,446.4736842105263,96,0.53125,444.875,92,0.7065217391304348,453.0,99,0.5252525252525253,406.34343434343435,272,0.6875,451.9485294117647,4080,4080,278.1307771205902
N,3,1947088435,0.0003,122880,282,0.1524822695035461,306.9326241134752,138,0.10869565217391304,283.0507246376812,93,0.06451612903225806,262.8817204301075,95,0.11578947368421053,278.7263157894737,96,0.17708333333333334,306.65625,92,0.22826086956521738,313.1847826086956,99,0.16161616161616163,286.3030303030303,272,0.13602941176470587,294.1470588235294,4080,4080,278.1307771205902
N,3,1947088435,0.0003,143360,282,0.46099290780141844,400.209219858156,138,0.4057971014492754,410.463768115942,93,0.34408602150537637,398.38709677419354,95,0.4842105263157895,412.94736842105266,96,0.3645833333333333,395.8645833333333,92,0.4891304347826087,409.0652173913044,99,0.41414141414141414,369.72727272727275,272,0.40808823529411764,416.3602941176471,4080,4080,278.1307771205902
N,3,1947088435,0.0003,163840,282,0.975177304964539,494.9078014184397,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,498.10869565217394,99,0.9696969696969697,492.90909090909093,272,0.9558823529411765,491.14338235294116,4080,4080,278.1307771205902
