arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,1,3e-05,20480,282,0.01773049645390071,0.016666666666666666,68.08156028368795,138,0.0,0.0,56.630434782608695,93,0.010752688172043012,0.01,62.634408602150536,95,0.010526315789473684,0.01,62.26315789473684,96,0.03125,0.03,78.125,92,0.021739130434782608,0.02,71.32608695652173,99,0.0,0.0,50.35353535353536,272,0.04779411764705882,0.040625,96.27941176470588,7053,7053,85.46980381011963
N,1,3e-05,40960,282,0.01773049645390071,0.016666666666666666,69.65602836879432,138,0.0,0.0,58.06521739130435,93,0.0,0.0,60.1505376344086,95,0.0,0.0,56.8421052631579,96,0.03125,0.03,80.76041666666667,92,0.010869565217391304,0.01,70.29347826086956,99,0.0,0.0,48.333333333333336,272,0.04779411764705882,0.040625,99.37867647058823,7053,7053,85.46980381011963
N,1,3e-05,61440,282,0.02127659574468085,0.02,72.94680851063829,138,0.007246376811594203,0.006666666666666667,63.63768115942029,93,0.0,0.0,65.93548387096774,95,0.010526315789473684,0.01,63.56842105263158,96,0.041666666666666664,0.04,88.33333333333333,92,0.010869565217391304,0.01,71.79347826086956,99,0.010101010101010102,0.01,54.888888888888886,272,0.051470588235294115,0.04375,104.22058823529412,7053,7053,85.46980381011963
N,1,3e-05,81920,282,0.024822695035460994,0.023333333333333334,79.42553191489361,138,0.007246376811594203,0.006666666666666667,69.7463768115942,93,0.010752688172043012,0.01,71.68817204301075,95,0.010526315789473684,0.01,69.08421052631579,96,0.041666666666666664,0.04,92.66666666666667,92,0.010869565217391304,0.01,81.8913043478261,99,0.0,0.0,54.56565656565657,272,0.04779411764705882,0.040625,108.93014705882354,7053,7053,85.46980381011963
N,1,3e-05,102400,282,0.03900709219858156,0.03666666666666667,91.19148936170212,138,0.0,0.0,72.42753623188406,93,0.0,0.0,75.46236559139786,95,0.010526315789473684,0.01,75.01052631578948,96,0.052083333333333336,0.05,99.16666666666667,92,0.021739130434782608,0.02,94.34782608695652,99,0.0,0.0,59.04040404040404,272,0.0661764705882353,0.05625,115.20220588235294,7053,7053,85.46980381011963
N,1,3e-05,122880,282,0.04609929078014184,0.043333333333333335,100.81914893617021,138,0.007246376811594203,0.006666666666666667,85.65942028985508,93,0.0,0.0,86.6989247311828,95,0.010526315789473684,0.01,83.2421052631579,96,0.052083333333333336,0.05,112.88541666666667,92,0.05434782608695652,0.05,106.18478260869566,99,0.0,0.0,65.82828282828282,272,0.07352941176470588,0.0625,127.34558823529412,7053,7053,85.46980381011963
N,1,3e-05,143360,282,0.06382978723404255,0.06,130.08510638297872,138,0.007246376811594203,0.006666666666666667,118.52898550724638,93,0.0,0.0,119.16129032258064,95,0.010526315789473684,0.01,108.10526315789474,96,0.10416666666666667,0.1,151.32291666666666,92,0.07608695652173914,0.07,136.1195652173913,99,0.010101010101010102,0.01,90.18181818181819,272,0.10294117647058823,0.0875,154.6691176470588,7053,7053,85.46980381011963
N,1,3e-05,163840,282,0.10283687943262411,0.09666666666666666,184.5921985815603,138,0.036231884057971016,0.03333333333333333,171.20289855072463,93,0.043010752688172046,0.04,182.10752688172042,95,0.09473684210526316,0.09,171.47368421052633,96,0.15625,0.15,203.875,92,0.11956521739130435,0.11,194.97826086956522,99,0.030303030303030304,0.03,136.6060606060606,272,0.1323529411764706,0.1125,206.5110294117647,7053,7053,85.46980381011963
N,1,3e-05,184320,282,0.6453900709219859,0.6066666666666667,371.06028368794324,138,0.6811594202898551,0.6266666666666667,383.0072463768116,93,0.7419354838709677,0.69,402.1290322580645,95,0.5894736842105263,0.56,348.5578947368421,96,0.7083333333333334,0.68,390.7604166666667,92,0.6739130434782609,0.62,380.55434782608694,99,0.43434343434343436,0.43,285.19191919191917,272,0.4889705882352941,0.415625,354.0404411764706,7053,7053,85.46980381011963
N,1,3e-05,204800,282,0.3475177304964539,0.32666666666666666,335.74468085106383,138,0.3333333333333333,0.30666666666666664,357.07971014492756,93,0.3010752688172043,0.28,359.93548387096774,95,0.3157894736842105,0.3,329.4736842105263,96,0.3229166666666667,0.31,352.3020833333333,92,0.3695652173913043,0.34,342.32608695652175,99,0.20202020202020202,0.2,269.6868686868687,272,0.4522058823529412,0.384375,365.10661764705884,7053,7053,85.46980381011963
