arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
A,2,676060130,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,256000,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,266240,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,276480,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,286720,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
A,2,676060130,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3793,1819,64.7484610080719
N,3,1947088435,0,298,0.0,200.0,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,10240,298,0.02348993288590604,196.44295302013424,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,20480,298,0.02348993288590604,196.21140939597316,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,30720,298,0.0,200.0,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,40960,298,0.09395973154362416,184.91275167785236,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,51200,298,0.1912751677852349,169.1510067114094,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,61440,298,0.19798657718120805,168.69127516778522,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,71680,298,0.23825503355704697,161.24161073825502,2000,0.0,200.0,1743,1743,63.693196058273315
N,3,1947088435,81920,298,0.32550335570469796,146.16107382550337,2000,0.0,200.0,1743,1743,63.693196058273315
