comparison,metric,diff,ci_lo,ci_hi,p,q_bh,p_holm
S_ce vs N,auc_E6,0.009413306451612924,-0.009147379032258004,0.027599361559139717,0.32151470374494107,0.9905893323498332,1.0
S_ce vs N,final_E6,-0.025698924731182682,-0.07651915322580641,0.025043682795698866,0.32206525572051936,0.9905893323498332,1.0
S_sa vs N,final_E1b,-0.01806451612903226,-0.05569892473118277,0.017851254480286682,0.33390009966785805,0.9905893323498332,1.0
S_sa vs N,final_steps_E1,-4.556739130434835,-13.923138888888893,4.5344643719807785,0.3349558585784764,0.9905893323498332,1.0
S_sa vs N,final_steps_E4,-4.8728956228954985,-14.737962121212151,4.918381313131259,0.3384513552195263,0.9905893323498332,1.0
S_ce vs N,auc_E7,0.01041000000000003,-0.012118541666666678,0.03236537499999997,0.362896536790833,0.9941395639363009,1.0
S_sa vs N,final_steps_E2,-4.34599999999989,-13.708963157894761,4.820410526315675,0.36392538887278064,0.9941395639363009,1.0
S_sa vs N,final_steps_E5,-3.251544117647029,-10.839595588235383,4.147056066176435,0.39162052665614716,0.9941395639363009,1.0
S_sa vs N,auc_E4,-0.010212121212121006,-0.0342508417508417,0.013072432659932819,0.4015123285212854,0.9941395639363009,1.0
S_mab vs N,final_steps_E1b,3.5612903225805894,-5.062719534050236,12.427715053763375,0.41888266803949975,0.9941395639363009,1.0
S_sa vs N,final_steps_E3a,-3.809548611111097,-13.569262152777842,5.611316840277785,0.4330087107365448,0.9941395639363009,1.0
S_mab vs N,final_E5,-0.01087009803921557,-0.03848069852941184,0.016005514705882445,0.4375384016631094,0.9941395639363009,1.0
S_mab vs N,final_steps_E3a,3.231041666666613,-4.908826388888877,11.608997395833383,0.44070104198705756,0.9941395639363009,1.0
S_ce vs N,final_E5,0.008492647058823688,-0.012732843137254868,0.0318259803921568,0.45889785738875305,0.9941395639363009,1.0
S_mab vs N,auc_E1b,0.009207885304659547,-0.017817562724014427,0.03505752688172035,0.4967902783292174,0.9941395639363009,1.0
S_mab vs N,auc_E6,0.006110887096774209,-0.013317254704301111,0.02542899865591402,0.5345172081380966,0.9941395639363009,1.0
S_ce vs N,auc_E4,0.006927609427609505,-0.01491254208754216,0.028535858585858456,0.5363149498407661,0.9941395639363009,1.0
S_mab vs N,final_E3b,-0.010036231884058,-0.043189311594202924,0.02228351449275378,0.5508186716162458,0.9941395639363009,1.0
S_sa vs N,final_steps_E1b,-2.6602150537635225,-12.227341397849445,6.845576164874594,0.5822962606822149,0.9941395639363009,1.0
S_sa vs N,auc_E0,-0.006620567375886566,-0.03164867021276586,0.01738723404255315,0.5969650163779843,0.9941395639363009,1.0
S_sa vs N,auc_E5,-0.006064950980392059,-0.0290268995098039,0.01627884497549032,0.5986975629100695,0.9941395639363009,1.0
S_mab vs N,final_steps_E1,2.12123188405792,-5.788689613526492,10.189245772946977,0.6020283028846976,0.9941395639363009,1.0
S_mab vs N,final_E0,-0.008971631205673791,-0.04306264775413745,0.024551122931442286,0.6047990231418292,0.9941395639363009,1.0
S_mab vs N,final_E7,-0.00863333333333316,-0.04146666666666665,0.023935000000000223,0.6074193614900547,0.9941395639363009,1.0
S_mab vs N,auc_E1,0.007027777777777744,-0.020289945652173763,0.0330141606280194,0.6083325267358385,0.9941395639363009,1.0
S_mab vs N,auc_E5,-0.006131127450980323,-0.030326608455882496,0.017257245710784245,0.6150490793497804,0.9941395639363009,1.0
S_sa vs N,auc_E7,-0.0061633333333332985,-0.03054037500000012,0.017307291666666575,0.6152470182929881,0.9941395639363009,1.0
S_mab vs N,auc_E3a,0.006760416666666824,-0.020542361111111122,0.032606553819444516,0.6204646933108807,0.9941395639363009,1.0
S_sa vs N,auc_E2,-0.006143859649122896,-0.03216539473684208,0.018666798245613982,0.6384996854931737,0.9941395639363009,1.0
A vs N,final_E3b,-0.007173913043478475,-0.037573369565217625,0.0240579710144927,0.6577604407792891,0.9941395639363009,1.0
